DATE;BOGMBASEW
1994-06-29;413560
1994-07-06;413560
1994-07-13;416941
1994-07-20;416941
1994-07-27;413343
1994-08-03;413343
1994-08-10;415950
1994-08-17;415950
1994-08-24;414987
1994-08-31;414987
1994-09-07;418350
1994-09-14;418350
1994-09-21;415223
1994-09-28;415223
1994-10-05;417983
1994-10-12;417983
1994-10-19;419046
1994-10-26;419046
1994-11-02;419321
1994-11-09;419321
1994-11-16;424371
1994-11-23;424371
1994-11-30;425258
1994-12-07;425258
1994-12-14;426745
1994-12-21;426745
1994-12-28;433193
1995-01-04;433193
1995-01-11;429049
1995-01-18;429049
1995-01-25;421033
1995-02-01;421033
1995-02-08;421990
1995-02-15;421990
1995-02-22;424014
1995-03-01;424014
1995-03-08;426751
1995-03-15;426751
1995-03-22;428458
1995-03-29;428458
1995-04-05;431310
1995-04-12;431310
1995-04-19;435511
1995-04-26;435511
1995-05-03;433334
1995-05-10;433334
1995-05-17;433888
1995-05-24;433888
1995-05-31;435212
1995-06-07;435212
1995-06-14;434766
1995-06-21;434766
1995-06-28;434687
1995-07-05;434687
1995-07-12;437884
1995-07-19;437884
1995-07-26;434129
1995-08-02;434129
1995-08-09;436485
1995-08-16;436485
1995-08-23;434643
1995-08-30;434643
1995-09-06;437873
1995-09-13;437873
1995-09-20;434966
1995-09-27;434966
1995-10-04;436030
1995-10-11;436030
1995-10-18;437358
1995-10-25;437358
1995-11-01;435720
1995-11-08;435720
1995-11-15;439144
1995-11-22;439144
1995-11-29;442377
1995-12-06;442377
1995-12-13;443193
1995-12-20;443193
1995-12-27;451098
1996-01-03;451098
1996-01-10;445756
1996-01-17;445756
1996-01-24;435703
1996-01-31;435703
1996-02-07;434264
1996-02-14;434264
1996-02-21;436898
1996-02-28;436898
1996-03-06;439435
1996-03-13;439435
1996-03-20;440632
1996-03-27;440632
1996-04-03;443149
1996-04-10;443149
1996-04-17;444605
1996-04-24;444605
1996-05-01;440890
1996-05-08;440890
1996-05-15;442648
1996-05-22;442648
1996-05-29;445472
1996-06-05;445472
1996-06-12;445801
1996-06-19;445801
1996-06-26;447648
1996-07-03;447648
1996-07-10;451988
1996-07-17;451988
1996-07-24;448143
1996-07-31;448143
1996-08-07;450693
1996-08-14;450693
1996-08-21;450492
1996-08-28;450492
1996-09-04;453891
1996-09-11;453891
1996-09-18;450880
1996-09-25;450880
1996-10-02;450699
1996-10-09;450699
1996-10-16;453598
1996-10-23;453598
1996-10-30;452590
1996-11-06;452590
1996-11-13;456708
1996-11-20;456708
1996-11-27;460086
1996-12-04;460086
1996-12-11;462364
1996-12-18;462364
1996-12-25;469244
1997-01-01;469244
1997-01-08;466689
1997-01-15;466689
1997-01-22;458453
1997-01-29;458453
1997-02-05;458206
1997-02-12;458206
1997-02-19;461141
1997-02-26;461141
1997-03-05;461577
1997-03-12;461577
1997-03-19;461933
1997-03-26;461933
1997-04-02;465062
1997-04-09;465062
1997-04-16;465940
1997-04-23;465940
1997-04-30;465090
1997-05-07;465090
1997-05-14;466108
1997-05-21;466108
1997-05-28;469704
1997-06-04;469704
1997-06-11;468769
1997-06-18;468769
1997-06-25;471075
1997-07-02;471075
1997-07-09;475424
1997-07-16;475424
1997-07-23;471072
1997-07-30;471072
1997-08-06;473360
1997-08-13;473360
1997-08-20;474330
1997-08-27;474330
1997-09-03;477430
1997-09-10;477430
1997-09-17;474150
1997-09-24;474150
1997-10-01;475141
1997-10-08;475141
1997-10-15;478166
1997-10-22;478166
1997-10-29;479137
1997-11-05;479137
1997-11-12;483631
1997-11-19;483631
1997-11-26;488365
1997-12-03;488365
1997-12-10;488981
1997-12-17;488981
1997-12-24;498185
1997-12-31;498185
1998-01-07;496774
1998-01-14;496774
1998-01-21;486831
1998-01-28;486831
1998-02-04;485945
1998-02-11;485945
1998-02-18;489859
1998-02-25;489859
1998-03-04;490778
1998-03-11;490778
1998-03-18;490693
1998-03-25;490693
1998-04-01;492157
1998-04-08;492157
1998-04-15;495824
1998-04-22;495824
1998-04-29;493096
1998-05-06;493096
1998-05-13;494200
1998-05-20;494200
1998-05-27;497708
1998-06-03;497708
1998-06-10;497652
1998-06-17;497652
1998-06-24;498693
1998-07-01;498693
1998-07-08;503295
1998-07-15;503295
1998-07-22;501496
1998-07-29;501496
1998-08-05;505031
1998-08-12;505031
1998-08-19;503610
1998-08-26;503610
1998-09-02;507988
1998-09-09;507988
1998-09-16;508297
1998-09-23;508297
1998-09-30;509954
1998-10-07;509954
1998-10-14;512858
1998-10-21;512858
1998-10-28;513944
1998-11-04;513944
1998-11-11;517026
1998-11-18;517026
1998-11-25;521361
1998-12-02;521361
1998-12-09;523111
1998-12-16;523111
1998-12-23;530109
1998-12-30;530109
1999-01-06;531695
1999-01-13;531695
1999-01-20;525480
1999-01-27;525480
1999-02-03;523810
1999-02-10;523810
1999-02-17;527231
1999-02-24;527231
1999-03-03;529876
1999-03-10;529876
1999-03-17;530752
1999-03-24;530752
1999-03-31;533158
1999-04-07;533158
1999-04-14;534908
1999-04-21;534908
1999-04-28;537146
1999-05-05;537146
1999-05-12;539548
1999-05-19;539548
1999-05-26;543319
1999-06-02;543319
1999-06-09;544177
1999-06-16;544177
1999-06-23;543956
1999-06-30;543956
1999-07-07;549077
1999-07-14;549077
1999-07-21;548233
1999-07-28;548233
1999-08-04;550333
1999-08-11;550333
1999-08-18;550681
1999-08-25;550681
1999-09-01;554834
1999-09-08;554834
1999-09-15;557042
1999-09-22;557042
1999-09-29;558448
1999-10-06;558448
1999-10-13;564178
1999-10-20;564178
1999-10-27;568675
1999-11-03;568675
1999-11-10;578945
1999-11-17;578945
1999-11-24;590114
1999-12-01;590114
1999-12-08;600914
1999-12-15;600914
1999-12-22;623631
1999-12-29;623631
2000-01-05;626869
2000-01-12;626869
2000-01-19;588940
2000-01-26;588940
2000-02-02;578062
2000-02-09;578062
2000-02-16;578414
2000-02-23;578414
2000-03-01;577087
2000-03-08;577087
2000-03-15;576894
2000-03-22;576894
2000-03-29;577451
2000-04-05;577451
2000-04-12;578619
2000-04-19;578619
2000-04-26;579066
2000-05-03;579066
2000-05-10;580064
2000-05-17;580064
2000-05-24;581368
2000-05-31;581368
2000-06-07;582432
2000-06-14;582432
2000-06-21;580846
2000-06-28;580846
2000-07-05;586458
2000-07-12;586458
2000-07-19;582690
2000-07-26;582690
2000-08-02;583147
2000-08-09;583147
2000-08-16;582921
2000-08-23;582921
2000-08-30;584612
2000-09-06;584612
2000-09-13;583927
2000-09-20;583927
2000-09-27;582991
2000-10-04;582991
2000-10-11;585945
2000-10-18;585945
2000-10-25;585201
2000-11-01;585201
2000-11-08;587816
2000-11-15;587816
2000-11-22;592856
2000-11-29;592856
2000-12-06;593716
2000-12-13;593716
2000-12-20;600515
2000-12-27;600515
2001-01-03;605483
2001-01-10;605483
2001-01-17;596914
2001-01-24;596914
2001-01-31;592435
2001-02-07;592435
2001-02-14;596503
2001-02-21;596503
2001-02-28;598050
2001-03-07;598050
2001-03-14;598898
2001-03-21;598898
2001-03-28;600135
2001-04-04;600135
2001-04-11;601536
2001-04-18;601536
2001-04-25;602482
2001-05-02;602482
2001-05-09;604094
2001-05-16;604094
2001-05-23;608044
2001-05-30;608044
2001-06-06;608620
2001-06-13;608620
2001-06-20;608399
2001-06-27;608399
2001-07-04;614420
2001-07-11;614420
2001-07-18;615907
2001-07-25;615907
2001-08-01;619032
2001-08-08;619032
2001-08-15;621467
2001-08-22;621467
2001-08-29;626940
2001-09-05;626940
2001-09-12;667412
2001-09-19;667412
2001-09-26;630748
2001-10-03;630748
2001-10-10;634426
2001-10-17;634426
2001-10-24;636826
2001-10-31;636826
2001-11-07;635782
2001-11-14;635782
2001-11-21;642604
2001-11-28;642604
2001-12-05;643287
2001-12-12;643287
2001-12-19;653923
2001-12-26;653923
2002-01-02;659930
2002-01-09;659930
2002-01-16;652179
2002-01-23;652179
2002-01-30;649587
2002-02-06;649587
2002-02-13;655271
2002-02-20;655271
2002-02-27;657321
2002-03-06;657321
2002-03-13;657943
2002-03-20;657943
2002-03-27;661137
2002-04-03;661137
2002-04-10;663255
2002-04-17;663255
2002-04-24;664081
2002-05-01;664081
2002-05-08;665556
2002-05-15;665556
2002-05-22;671425
2002-05-29;671425
2002-06-05;672481
2002-06-12;672481
2002-06-19;673438
2002-06-26;673438
2002-07-03;680268
2002-07-10;680268
2002-07-17;679002
2002-07-24;679002
2002-07-31;678557
2002-08-07;678557
2002-08-14;678493
2002-08-21;678493
2002-08-28;682392
2002-09-04;682392
2002-09-11;680464
2002-09-18;680464
